match id,dataset_type,win_pred_team_id,win_pred_score,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10
9250275,r1,90,0.5214881548322499,xgb;cat,yes,500;100,3;9,0.001;0.001,1.0,0.0,0.0769230769230769,0.1854838709677419,1.0,1.0,1.0,1.0,0.0,1.0
9262189,r1,36098,0.5041394514700136,xgb;cat,yes,500;100,3;9,0.001;0.001,0.24843811513095,0.6153846153846154,0.8603603603603603,0.4275810844268383,2.4405940594059405,1.375,2.0,1.1090380761523042,143.06666666666666,0.86
9128776,r1,48334,0.5133519132059531,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.4306004188702332,0.8421052631578947,1.2596153846153846,0.9892566782810686,0.9620535714285714,0.9333333333333332,1.0,0.803273456733838,166.06666666666666,0.55
9586919,r1,36112,0.5281629182859149,xgb;cat,yes,500;100,3;9,0.001;0.001,0.3782075040095595,0.2857142857142857,0.6035242290748899,0.4185117967332123,0.3720930232558139,1.0,0.625,0.514890514890515,146.83333333333334,1.18
9128538,r1,30414,0.5199839433371874,xgb;cat,yes,500;100,3;9,0.001;0.001,0.1698865611875013,2.375,2.1301369863013697,1.5169182717334722,3.462121212121212,4.0,3.5,1.286046812362602,169.7,0.43
9516653,r1,30407,0.5165019843691874,xgb;cat,yes,500;100,3;9,0.001;0.001,5.911102547797173,0.4,0.7717391304347826,0.7604820913257512,0.7054945054945055,3.6,1.1666666666666667,0.8216510761965305,172.4,1.43
9516534,r1,36014,0.5107233947790857,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.7276786336258194,0.6818181818181818,0.89,2.2008882815169115,2.3614864864864864,0.75,2.5,0.9845580817878482,176.46666666666667,0.25
9085474,r1,9701,0.5123971270874916,xgb;cat,yes,500;100,3;9,0.001;0.001,3.2807417935798986,3.2,2.0847457627118646,2.731274131274131,1.0,1.0,1.0,0.924991888623426,173.2,1.88
9433752,r1,7727,0.509972131805881,xgb;cat,yes,500;100,3;9,0.001;0.001,5.229042712003472,2.4285714285714284,1.605095541401274,4.812776723592663,1.0,1.0,1.0,0.934010152284264,166.33333333333334,2.86
9516359,r1,30428,0.5055482255794003,xgb;cat,yes,500;100,3;9,0.001;0.001,0.6196560666827992,1.7272727272727273,1.4477611940298507,0.9837731811697576,0.7053140096618358,1.0,0.7142857142857143,1.1847254836184724,164.83333333333334,6.72
9262133,r1,38814,0.5015848944936201,xgb;cat,yes,500;100,3;9,0.001;0.001,-1.7942060026113094,1.7142857142857142,1.3190184049079754,1.4314882032667875,1.0978260869565215,1.0,1.0,1.1888106722287402,152.26666666666668,4.67
9782086,r1,202,0.5121668221627202,xgb;cat,yes,500;100,3;9,0.001;0.001,1.3498343007137843,1.5,4.0,2.4913151364764268,1.0,1.0,1.0,0.8679999999999999,142.25,3.11
9271807,r1,47501,0.5170115642229817,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.0742980009466784,0.6,0.92,1.3751387347391786,0.3141592920353982,1.5714285714285714,0.5714285714285714,0.8377358490566038,140.0,0.3
9644102,r1,48,0.5029236861707328,xgb;cat,yes,500;100,3;9,0.001;0.001,4.76666974447918,3.4,4.830188679245283,5.615030674846626,2.8762886597938144,1.0,5.0,1.3751495016611297,145.83333333333334,0.82
9256386,r1,62,0.5006016741946495,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.065863826338951,0.4444444444444444,0.6161137440758294,0.0844379639448568,0.9136125654450262,2.571428571428572,1.1666666666666667,1.046831955922865,143.5,0.61
9272773,r1,33921,0.509110457125273,xgb;cat,yes,500;100,3;9,0.001;0.001,0.0909636485410849,0.9090909090909092,1.0266666666666666,0.8852639296187683,0.6109422492401215,4.0,1.0,1.0760937530531294,137.9,1.21
9433850,r1,6698,0.5083978324972236,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.1289354181916575,0.6666666666666666,1.0609137055837563,1.0860776002608412,1.0,1.0,1.0,0.8976681051074776,176.03333333333333,1.17
9615073,r1,41,0.511831770905248,xgb;cat,yes,500;100,3;9,0.001;0.001,0.0163758631909201,0.9230769230769232,1.2158273381294964,0.4873586683417085,0.904225352112676,0.75,1.75,1.136363636363637,167.1,0.74
9262035,r1,38814,0.5042745352744948,xgb;cat,yes,500;100,3;9,0.001;0.001,-0.5896693887430087,0.4,0.6951871657754011,1.0566143497757847,0.4901315789473684,0.1111111111111111,0.6,0.6726606726606726,158.66666666666666,0.38
