feat_id,feat_name,feat_description,model_feat_imp_train,feat_rank_train
1,team1Num50Last15,Ratio of team1 to team2 number of 50s by players in last 15 games.,0.06659619450317125,1
2,inn2AvgRunsLast15,Average runs scored in inning 2 in last 15 games.,0.06659619450317125,2
3,seriesAvgRunsLast15,Average runs scored in the series in last 15 games.,0.06448202959830866,3
4,team1BatBoundaryPercentLast15,Ratio of team1 to team2 percent of runs scored that are boundaries in last 15 games.,0.05179704016913319,4
5,team1BatsFirstWins,Ratio of team1 to team2 percent of match wins resulting from batting first.,0.049682875264270614,5
6,team1TotalWicketsPOMLast15,Ratio of team1 to team2 total wickets by player of the match in last 15 games.,0.04756871035940803,6
7,team1EconBelow8Last15,Ratio of team1 to team2 percent player-level economy rate below 8 in last 15 games.,0.045454545454545456,7
8,team1PlayerOfMatchLast15,Ratio of team1 to team2 total number of player of the match won by players in last 15 games.,0.042283298097251586,8
9,team1BowlBoundaryPercentLast15,Ratio of team1 to team2 percent of runs conceded that are boundaries in last 15 games.,0.040169133192389,9
10,team1TotalRunsPOMLast15,Ratio of team1 to team2 total runs by player of the match in last 15 games.,0.03805496828752643,10
